Motor Name,Manufacturer,Max Thrust (g or kg),Recommended ESC,Recommended Propeller,Motor Product Link,ESC Product Link,Propeller Product Link,Category,motor_diameter_od,motor_holes_mount_diameter,screw_type,shaft_diameter
V10 KV160 VTOL UAV Motor - Efficient Cooling & Stability,T-Motor,27976.0g,FLAME 200A 14S,G30*10.5,https://store.tmotor.com/product/v10-vtol-motor.html,https://store.tmotor.com/product/flame200a-14s-esc.html,https://store.tmotor.com/product/g30x10_5-prop-2pcs-1pair-glossy-carbon-fiber.html,20kg Class,106.6,,,15
V10L KV170 VTOL UAV Motor - Sharp Takeoff & Steady Landing,T-Motor,31798.0g,FLAME 200A 14S,G30*10.5,https://store.tmotor.com/product/v10l-vtol-motor.html,https://store.tmotor.com/product/flame200a-14s-esc.html,https://store.tmotor.com/product/g30x10_5-prop-2pcs-1pair-glossy-carbon-fiber.html,20kg Class,106.6,,,15
VL1180 VTOL UAV Motor - 88kg Max.Thrust / Arm,T-Motor,88075.0g,N/A,VZ45,https://store.tmotor.com/product/vl1180-kv60-vtol-uav-motor.html,,https://store.tmotor.com/product/vz45-18-carbon-fiber-vtol-propeller.html,120kg Class,120.5,,M6,17
AT8025 70CC Fixed-Wing UAV Motor - High Speed & Load,T-Motor,21549.0g,N/A,23*10 / 24*10 / 25*10 / 26*12,https://store.tmotor.com/product/at8025-fixed-wing-motor.html,,,20kg Class,90,,,12
AT8030 85CC Fixed-Wing Motor - Excellent Control & Balance,T-Motor,23374.0g,N/A,24*10 / 25*10 / 26*12 / 27*12,https://store.tmotor.com/product/at8030-brushless-outdoor-fixed-wing-motor.html,,,20kg Class,90,,,12
VL1032 VTOL UAV Motor for 50-55kg MTOW(Quad) Drone,T-Motor,31766.0g,N/A,N/A,https://store.tmotor.com/product/vl1032-big-drone-motor-for-heavy-lift-uavs.html,,,20kg Class,109.6,,M6,12
VL1040 VTOL UAV Motor for 65-70kg MTOW(Quad) Drone,T-Motor,45797.0g,N/A,VZ32,https://store.tmotor.com/product/vl1040-kv150-vtol-uav-motor.html,,,50kg Class,107.2,,M6,12
VL1380 VTOL UAV Motor for 140-150kg MTOW(Quad) Drone,T-Motor,83024.0g,N/A,VZ45,https://store.tmotor.com/product/vl1380-kv60-vtol-uav-motor.html,,https://store.tmotor.com/product/vz45-18-carbon-fiber-vtol-propeller.html,50kg Class,149.6,,M6,20
V13L KV65 VTOL UAV Motor for 55kg Thrust Heavy-Lift Drones,T-Motor,55454.0g,THUNDER 200A 24S,"VZ42*16.5""",https://store.tmotor.com/product/v13l-vtol-motor.html,,,50kg Class,144.2,,,20
VL1035 KV150 VTOL UAV Motor for 35kg Heavy-Lift Drones,T-Motor,36173.0g,N/A,N/A,https://store.tmotor.com/product/vl1035-large-drone-motors-for-heavy-lift-uavs.html,,,50kg Class,109.6,,M6,12
V505 VTOL UAV Motor - Abundant Power & High Temp. Resistance,T-Motor,8741.0g,FLAME 60A 12S,P16*5.4/P17*5.8,https://store.tmotor.com/product/v505-vtol-motor.html,https://store.tmotor.com/product/flame-60a-12s-V2-esc.html,https://store.tmotor.com/product/polish-carbon-fiber-16x5_4-prop.html,10kg Class,55.6,,,6
VL6011 KV180 VTOL UAV Motor - Quick Lock & Highly Efficient,T-Motor,10150.0g,V60A,N/A,https://store.tmotor.com/product/vl6011-powerful-drone-motor-for-uavs.html,https://store.tmotor.com/product/v60a-24s-uav-esc.html,,10kg Class,67.2,,M6,6
VL6013 KV210 VTOL UAV Motor for 13kg Max Thrust Drones,T-Motor,13084.0g,N/A,N/A,https://store.tmotor.com/product/vl6013-heavy-drone-motor-for-uavs.html,,,10kg Class,68.8,,M6,6
VL8022 KV170 VTOL UAV Motor - Quick Lock & Highly Efficient,T-Motor,22268.0g,N/A,VZ29,https://store.tmotor.com/product/vl8022-large-drone-motor-for-vtol-uavs.html,,https://store.tmotor.com/product/vz29-9-5-carbon-fiber-vtol-propeller.html,20kg Class,88.8,,M6,12
VL7015 KV190 Large VTOL UAV Motor for High Thrust Drone,T-Motor,15867.0g,N/A,N/A,https://store.tmotor.com/product/vl7015-large-brushless-motor-for-uavs.html,,,20kg Class,79.2,,M6,8
VL8018 KV180 VTOL UAV Motor for 17.6kg Max Thrust Drones,T-Motor,17587.0g,V120A,N/A,https://store.tmotor.com/product/vl8018-powerful-brushless-motor-for-large-drones.html,https://store.tmotor.com/product/v120a-bldc-foc-drone-esc.html,,20kg Class,88.8,,M6,12
AT1040 130CC Fixed-Wing Motor - 65kg Max Takeoff Weight,T-Motor,33242.0g,N/A,27*12 / 28*10 / 29*12,https://store.tmotor.com/product/fixed-wing-motor-at1040.html,,,20kg Class,110.6,,,15
AT1030 110CC Fixed-Wing Motor - Fast Setup & Secure,T-Motor,29968.0g,N/A,26*12 / 27*10 / 27*12,https://store.tmotor.com/product/fixed-wing-motor-at1030.html,,,20kg Class,110.6,,,15
AT1050 150CC Fixed-Wing UAV Motor - Efficient Cooling,T-Motor,38696.0g,N/A,29*12 / 30*10 / 30*12,https://store.tmotor.com/product/fixed-wing-motor-at1050.html,,,50kg Class,110.6,,,15
"U8Ⅱ-X UAV Integrated Propulsion System | Motor, ESC, Propeller",T-Motor,9082.0g,ALPHA 60A 6S V,MF2815,https://store.tmotor.com/product/u8-2-x-standard-integrated-propulsion.html,,https://store.tmotor.com/product/mf2815-polymer-folding-prop.html,10kg Class,132.9,,,15
X-605 Aerial Photograph Drone Coaxial Propulsion Combo Set,T-Motor,13755.0g,ALPHA 60A 6S,P22*6.6,https://store.tmotor.com/product/x-605-standard-integrated-propulsion.html,https://store.tmotor.com/product/alpha-60a-6s-esc.html,https://store.tmotor.com/product/polish-carbon-fiber-22x6_6-prop.html,10kg Class,124.8,,,6
605-X Professional Aerial Photograph Drone Propulsion Kit,T-Motor,10300.0g,ALPHA 60A 6S,MF2211,https://store.tmotor.com/product/605-x-standard-integrated-propulsion.html,https://store.tmotor.com/product/alpha-60a-6s-esc.html,https://store.tmotor.com/product/mf2211vp-manual-variable-pitch-propeller.html,10kg Class,122.6,69,,6
X-501 Coaxial Propulsion Kit for Aerial Photograph Drone,T-Motor,7451.0g,ALPHA 40A 6S,P18*6.1,https://store.tmotor.com/product/x-501-standard-integrated-propulsion.html,https://store.tmotor.com/product/alpha-40a-6s-esc.html,https://store.tmotor.com/product/polish-carbon-fiber-18x6_1-prop.html,5kg Class,122.6,69,,6
X-A12XL-18S UAV Coaxial Modular Propulsion System,T-Motor,73481.0g,N/A,N/A,https://store.tmotor.com/product/x-a12xl-18s-uav-coaxial-modular-propulsion-system.html,,,50kg Class,50,,,
P60-X Agricultural UAV Propulsion Combo Set - High Efficiency,T-Motor,10353.0g,FLAME 60A 12S,MF2211,https://store.tmotor.com/product/p60-x-standard-integrated-propulsion.html,https://store.tmotor.com/product/flame-60a-12s-V2-esc.html,https://store.tmotor.com/product/mf2211vp-manual-variable-pitch-propeller.html,10kg Class,130,,,6
A6L UAV Modular Propulsion kit for Multi-rotor Drones,T-Motor,12009.0g,N/A,N/A,https://store.tmotor.com/product/a6l-uav-modular-propulsion-kit.html,,,10kg Class,30,,,
"A16-18S_Single-Axis 18S_A Series Modular Propulsion Systems_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",T-Motor,74537.0g,N/A,N/A,https://store.tmotor.com/product/a16-18s-uav-modular-propulsion-system.html,,,50kg Class,60,,,
X-A12XL-14S UAV Coaxial Modular Propulsion System,T-Motor,69714.0g,N/A,N/A,https://store.tmotor.com/product/x-a12xl-14s-uav-coaxial-modular-propulsion-system.html,,,50kg Class,50,,,
"A16L-24S_Single-Axis 24S_A Series Modular Propulsion Systems_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",T-Motor,95138.0g,N/A,N/A,https://store.tmotor.com/product/a16l-24s-uav-modular-propulsion-system.html,,,120kg Class,60,,,
A6-M-6S UAV Modular Propulsion kit for Multi-rotor Drones,T-Motor,6065.0g,N/A,N/A,https://store.tmotor.com/product/a6-m-6s-uav-modular-propulsion-kit.html,,,5kg Class,25,,,
A8 UAV Modular Propulsion kit for Multi-rotor Drones,T-Motor,18192.0g,N/A,N/A,https://store.tmotor.com/product/a8-uav-modular-propulsion-kit.html,,,20kg Class,40,,,
"A6L-X_Single-Axis 12-14S_A Series Modular Propulsion Systems_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",T-Motor,12647.0g,N/A,N/A,https://store.tmotor.com/product/a6l-uav-modular-propulsion-system.html,,,10kg Class,30,,,
X-A12XL-24S UAV Coaxial Modular Propulsion System,T-Motor,73343.0g,N/A,N/A,https://store.tmotor.com/product/x-a12xl-24s-uav-coaxial-modular-propulsion-system.html,,,50kg Class,50,,,
"6007Ⅱ-X Integrated Propulsion System | Motor, ESC, Propeller",T-Motor,6495.0g,ALPHA60A 6S,MF2211,https://store.tmotor.com/product/6007-x-standard-integrated-propulsion.html,,https://store.tmotor.com/product/mf2211vp-manual-variable-pitch-propeller.html,5kg Class,122.5,69,,6
A12-24S UAV Modular Propulsion kit for Multi-rotor Drones,T-Motor,33126.0g,N/A,N/A,https://store.tmotor.com/product/a12-24s-uav-modular-propulsion-kit.html,,,20kg Class,50,,,
"X-A14-18S_Coaxial_A Series Modular Propulsion Systems_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",T-Motor,105810.0g,N/A,N/A,https://store.tmotor.com/product/x-a14-18s-uav-coaxial-modular-propulsion-system.html,,,120kg Class,60,,,
A12L-18S UAV Modular Propulsion kit for Multi-rotor Drones,T-Motor,38588.0g,N/A,N/A,https://store.tmotor.com/product/a12l-18s-uav-modular-propulsion-kit.html,,,50kg Class,50,,,
A12XL-18S UAV Modular Propulsion kit for Multi-rotor Drones,T-Motor,44688.0g,N/A,N/A,https://store.tmotor.com/product/a12xl-18s-uav-modular-propulsion-kit.html,,,50kg Class,50,,,
A10 UAV Modular Propulsion kit for Multi-rotor Drones,T-Motor,22750.0g,N/A,N/A,https://store.tmotor.com/product/a10-uav-modular-propulsion-kit.html,,,20kg Class,40,,,
"X-A12XL II-14S_Coaxial_A Series Modular Propulsion Systems_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",T-Motor,71892.0g,N/A,N/A,https://store.tmotor.com/product/x-a12xl-v2-14s-uav-coaxial-modular-propulsion-system.html,,,50kg Class,50,,,
X-505 Aerial Photograph Drone Coaxial Propulsion Combo Set,T-Motor,9348.0g,ALPHA 60A 6S,P18*6.1,https://store.tmotor.com/product/x-505-standard-integrated-propulsion.html,https://store.tmotor.com/product/alpha-60a-6s-esc.html,https://store.tmotor.com/product/polish-carbon-fiber-18x6_1-prop.html,10kg Class,113.3,,,6
"A6-M-12S_Single-Axis 12-14S_A Series Modular Propulsion Systems_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",T-Motor,7452.0g,N/A,N/A,https://store.tmotor.com/product/a6-m-12s-uav-modular-propulsion-system.html,,,5kg Class,25,,,
A12-18S UAV Modular Propulsion kit for Multi-rotor Drones,T-Motor,33723.0g,N/A,N/A,https://store.tmotor.com/product/a12-18s-uav-modular-propulsion-kit.html,,,20kg Class,50,,,
P80-X Professional Agricultural UAV Propulsion Kit,T-Motor,15388.0g,ALPHA 80A 12S,MF3016,https://store.tmotor.com/product/p80-x-standard-integrated-propulsion.html,https://store.tmotor.com/product/alpha-80a-12s-esc.html,https://store.tmotor.com/product/mf3016vp-variable-pitch-propellers-for-uavs.html,20kg Class,144,,,15
"X-A16L-24S_Coaxial_A Series Modular Propulsion Systems_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",T-Motor,156970.0g,N/A,N/A,https://store.tmotor.com/product/x-a16l-24s-uav-coaxial-modular-propulsion-system.html,,,120kg Class,80,,,
"A14-24S_Single-Axis 24S_A Series Modular Propulsion Systems_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",T-Motor,60491.0g,N/A,N/A,https://store.tmotor.com/product/a14-24s-uav-modular-propulsion-system.html,,,50kg Class,50,,,
"A6-X_Single-Axis 12-14S_A Series Modular Propulsion Systems_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",T-Motor,12195.0g,N/A,N/A,https://store.tmotor.com/product/a6-x-uav-modular-propulsion-system.html,,,10kg Class,30,,,
"X-U8Ⅱ UAV Coaxial Propulsion Kit - Motor, ESC, Propeller Set",T-Motor,13672.0g,ALPHA 60A 6S V,G28*9.2,https://store.tmotor.com/product/x-u8-2-standard-integrated-propulsion.html,,https://store.tmotor.com/product/g28x9_2-prop-2pcs-1pair-glossy-carbon-fiber.html,10kg Class,130.5,,,15
505-X Integrated Propulsion System for Aerial Photograph Drone,T-Motor,7050.0g,ALPHA 60A 6S,MF1806,https://store.tmotor.com/product/505-x-standard-integrated-propulsion.html,https://store.tmotor.com/product/alpha-60a-6s-esc.html,https://store.tmotor.com/product/mf1806-polymer-folding-prop.html,5kg Class,122.6,69,,6
"A8-X_Single-Axis 12-14S_A Series Modular Propulsion Systems_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",T-Motor,19048.0g,N/A,N/A,https://store.tmotor.com/product/a8-x-uav-modular-propulsion-system.html,,,20kg Class,40,,,
"X-A16-24S_Coaxial_A Series Modular Propulsion Systems_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",T-Motor,132510.0g,N/A,N/A,https://store.tmotor.com/product/x-a16-24s-uav-coaxial-modular-propulsion-system.html,,,120kg Class,80,,,
"X-601 UAV Coaxial Propulsion Kit - Motor, ESC, Propeller Set",T-Motor,9691.0g,ALPHA 60A 6S,P20*6,https://store.tmotor.com/product/x-601-standard-integrated-propulsion.html,https://store.tmotor.com/product/alpha-60a-6s-esc.html,https://store.tmotor.com/product/polish-carbon-fiber-20x6-prop.html,10kg Class,124.8,,,6
701-X Aerial Photograph Drone Propulsion Combo Set,T-Motor,10631.0g,ALPHA 80A 12S,MF2614,https://store.tmotor.com/product/701-x-standard-integrated-propulsion.html,https://store.tmotor.com/product/alpha-80a-12s-esc.html,https://store.tmotor.com/product/mf2614vp-variable-pitch-propeller-for-uavs.html,10kg Class,143,,,8
"A16-24S_Single-Axis 24S_A Series Modular Propulsion Systems_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",T-Motor,80586.0g,N/A,N/A,https://store.tmotor.com/product/a16-24s-uav-modular-propulsion-system.html,,,50kg Class,60,,,
601-X Integrated Propulsion System for Aerial Photograph Drone,T-Motor,6747.0g,ALPHA 60A 6S,MF2009,https://store.tmotor.com/product/601-x-standard-integrated-propulsion.html,https://store.tmotor.com/product/alpha-60a-6s-esc.html,https://store.tmotor.com/product/mf2009-polymer-folding-prop.html,5kg Class,122.6,69,,6
"A6_Single-Axis 12-14S_A Series Modular Propulsion Systems_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",T-Motor,12119.0g,N/A,N/A,https://store.tmotor.com/product/a6-uav-modular-propulsion-system.html,,,10kg Class,30,,,
"A14-18S_Single-Axis 18S_A Series Modular Propulsion Systems_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",T-Motor,59392.0g,N/A,N/A,https://store.tmotor.com/product/a14-18s-uav-modular-propulsion-system.html,,,50kg Class,50,,,
501-X Integrated Propulsion System for Aerial Photograph Drone,T-Motor,4689.0g,ALPHA 40A 6S,MF1806,https://store.tmotor.com/product/501-x-standard-integrated-propulsion.html,https://store.tmotor.com/product/alpha-40a-6s-esc.html,https://store.tmotor.com/product/mf1806-polymer-folding-prop.html,5kg Class,122.6,69,,6
A12XL-24S UAV Modular Propulsion kit for Multi-rotor Drones,T-Motor,45198.0g,N/A,N/A,https://store.tmotor.com/product/a12xl-24s-uav-modular-propulsion-kit.html,,,50kg Class,50,,,
A12L-24S UAV Modular Propulsion kit for Multi-rotor Drones,T-Motor,37890.0g,N/A,N/A,https://store.tmotor.com/product/a12l-24s-uav-modular-propulsion-kit.html,,,50kg Class,50,,,
"X-A14-24S_Coaxial_A Series Modular Propulsion Systems_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",T-Motor,113724.0g,N/A,N/A,https://store.tmotor.com/product/x-a14-24s-uav-coaxial-modular-propulsion-system.html,,,120kg Class,60,,,
"XU8-X UAV Integrated Propulsion System | Motor, ESC, Propeller",T-Motor,8716.0g,ALPHA 60 12S V1.2,MF2815,https://store.tmotor.com/product/xu8-x-standard-integrated-propulsion.html,,https://store.tmotor.com/product/mf2815-polymer-folding-prop.html,10kg Class,134.6,,,8
X-705 Coaxial UAV Propulsion Kit for Industrial Drone,T-Motor,15388.0g,ALPHA 80A 12S,G26*8.5,https://store.tmotor.com/product/x-705-standard-integrated-propulsion.html,https://store.tmotor.com/product/alpha-80a-12s-esc.html,https://store.tmotor.com/product/g26x8_5-prop-4pcs-1pair-glossy-carbon-fiber.html,20kg Class,126.5,,,8
"X-701 UAV Coaxial Propulsion Kit - Motor, ESC, Propeller Set",T-Motor,12304.0g,ALPHA 80A 12S,P24*7.2,https://store.tmotor.com/product/x-701-standard-integrated-propulsion.html,https://store.tmotor.com/product/alpha-80a-12s-esc.html,https://store.tmotor.com/product/polish-carbon-fiber-24x7_2-10mm-hole-prop.html,10kg Class,126.5,,,8
XU8XXL-X Modular Propulsion System for Emergency Response,T-Motor,13726.0g,ALPHA 60A 12S V1.2,MF3016,https://store.tmotor.com/product/xu8xxl-x-modular-integrated-propulsion-system.html,https://store.tmotor.com/product/alpha-60a-12s-esc.html,https://store.tmotor.com/product/mf3016vp-variable-pitch-propellers-for-uavs.html,10kg Class,150.9,,,8
XU8XL-X Modular Multirotor Propulsion System for UAV Logistics,T-Motor,11063.0g,ALPHA 60A 12S V1.2,MF2815/MF3016,https://store.tmotor.com/product/xu8xl-x-modular-integrated-propulsion-system.html,https://store.tmotor.com/product/alpha-60a-12s-esc.html,https://store.tmotor.com/product/mf2815-polymer-folding-prop.html,10kg Class,134.9,,,8
XU10-X  Modular Propulsion System for Agricultural UAVs,T-Motor,9895.0g,ALPHA 60A 12S V1.2,G28*9.2/G29*9.5/G30*10.5,https://store.tmotor.com/product/xu10-x-modular-integrated-propulsion-system.html,https://store.tmotor.com/product/alpha-60a-12s-esc.html,https://store.tmotor.com/product/g28x9_2-prop-2pcs-1pair-glossy-carbon-fiber.html,10kg Class,144.3,,,15
705-X UAV Propulsion Kit for Industrial & Aerial Photograph,T-Motor,11081.0g,ALPHA 80A 12S,MF2614,https://store.tmotor.com/product/705-x-standard-integrated-propulsion.html,https://store.tmotor.com/product/alpha-80a-12s-esc.html,https://store.tmotor.com/product/mf2614vp-variable-pitch-propeller-for-uavs.html,10kg Class,143,,,8
"X-A12XL II-24S_Coaxial_A Series Modular Propulsion Systems_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",T-Motor,75482.0g,N/A,N/A,https://store.tmotor.com/product/x-a12xl-v2-24s-uav-coaxial-modular-propulsion-system.html,,,50kg Class,50,,,
"X-A12XL II-18S_Coaxial_A Series Modular Propulsion Systems_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",T-Motor,74911.0g,N/A,N/A,https://store.tmotor.com/product/x-a12xl-v2-18s-uav-coaxial-modular-propulsion-system.html,,,50kg Class,50,,,
A12L-14S UAV Modular Propulsion kit for Multi-rotor Drones,T-Motor,37824.0g,N/A,N/A,https://store.tmotor.com/product/a12l-14s-uav-modular-propulsion-kit.html,,,50kg Class,50,,,
"A10L_Single-Axis 12-14S_A Series Modular Propulsion Systems_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",T-Motor,26154.0g,N/A,N/A,https://store.tmotor.com/product/a10l-uav-modular-propulsion-system.html,,,20kg Class,40,,,
A12-14S UAV Modular Propulsion kit for Multi-rotor Drones,T-Motor,32833.0g,N/A,N/A,https://store.tmotor.com/product/a12-14s-uav-modular-propulsion-kit.html,,,20kg Class,50,,,
"A10XL_Single-Axis 12-14S_A Series Modular Propulsion Systems_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",T-Motor,32259.0g,N/A,N/A,https://store.tmotor.com/product/a10xl-uav-modular-propulsion-system.html,,,20kg Class,40,,,
A14-14S UAV Modular Propulsion kit for Multi-rotor Drones,T-Motor,56560.0g,N/A,N/A,https://store.tmotor.com/product/a14-14s-uav-modular-propulsion-kit.html,,,50kg Class,50,,,
A12XL-14S UAV Modular Propulsion kit for Multi-rotor Drones,T-Motor,43604.0g,N/A,N/A,https://store.tmotor.com/product/a12xl-14s-uav-modular-propulsion-kit.html,,,50kg Class,50,,,
